content,TAB,TXT,IMG,HDR,TABs,TXTs,IMGs,HDRs,TAB_N,TXT_N,IMG_N,HDR_N,H_line,V_line,Form,Manuscript,Gallery,Front,FILE,PAGE,Category_ID,Category
0.83,0.0,0.0,1.0,0.0,False,False,True,False,0,0,1,0,True,True,False,False,True,False,CTX194604301,19,5,Gallery
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,CTX194604301,2,3,Table
0.88,0.0,0.0,1.0,0.0,False,False,True,False,0,0,1,0,True,True,False,False,True,False,CTX194604301,20,5,Gallery
0.85,0.0,0.03,0.97,0.0,False,True,True,False,0,1,1,0,True,True,False,False,True,False,CTX194604301,21,5,Gallery
0.86,0.98,0.02,0.0,0.0,True,True,False,False,1,1,0,0,True,True,True,False,False,False,CTX194604301,22,1,Form
0.85,0.0,0.03,0.97,0.0,False,True,True,False,0,1,1,0,True,True,False,False,True,False,CTX194604301,23,5,Gallery
0.85,0.98,0.02,0.0,0.0,True,True,False,False,1,1,0,0,True,True,True,False,False,False,CTX194604301,24,1,Form
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,CTX194604301,25,3,Table
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,False,False,False,False,False,CTX194604301,26,1,Form
0.83,0.86,0.0,0.14,0.0,True,False,True,False,2,0,1,0,True,True,True,False,False,False,CTX194604301,27,2,Form-figure
1.4,0.98,0.02,0.0,0.0,True,True,False,False,2,2,0,0,True,False,True,False,False,False,CTX194604301,28,1,Form
1.2,0.74,0.03,0.23,0.0,True,True,True,False,2,1,1,0,False,True,True,False,False,False,CTX194604301,29,2,Form-figure
0.57,0.0,1.0,0.0,0.0,False,True,False,True,0,6,0,1,True,False,False,True,False,False,CTX194604301,3,4,Text-body
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,False,False,False,False,False,CTX194604301,30,1,Form
0.42,0.0,0.0,1.0,0.0,False,False,True,False,0,0,2,0,False,False,False,False,False,False,CTX194604301,31,5,Gallery
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,False,False,False,False,False,False,CTX194604301,32,10,Neither
0.66,0.0,0.04,0.96,0.0,False,True,True,False,0,2,1,0,True,False,False,False,True,False,CTX194604301,33,5,Gallery
0.88,0.0,0.0,1.0,0.0,False,False,True,False,0,0,1,0,False,False,False,False,True,False,CTX194604301,34,5,Gallery
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,False,False,False,False,False,CTX194604301,35,1,Form
0.27,0.0,0.02,0.98,0.0,False,True,True,False,0,1,1,0,True,False,False,False,False,False,CTX194604301,36,5,Gallery
0.8,0.0,0.0,1.0,0.0,False,False,True,False,0,0,1,0,False,True,False,False,True,False,CTX194604301,37,5,Gallery
